Time,Type,Skill/Condition,Hit#,Coeff,StrikeDmg,Stacks,PerStack,CondTotal,BaseDurMs,AdjDurMs,DurBonus%,WeaversProwess,ActiveTotal,Power,WeaponStr,CondDmg,InfernoPower,CritCh%,CritDmg%,CritMul,Might,Fury,VulnStacks,VulnMul,StrikeMul,BaseStrike,AddStrike,PyroMul,StormMul,BoltMul,SerratedMul,FieryMightMul,PiercingMul,FlowLikeWaterMul,ZapMul,RelicStrikeMul,CondMul,SigilCondAdd,SigilCondMul,BaseTick,TempAria,TranscTemp,ElemRage,EmpAuras,FamProwess,EmpFlame,PowOvr,PolyPow,PolyFer,Att,Att2,Extra
2.440,APPLY,Torment,,,,3,,,8000,12805,60.07,false,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relic of Fractal
2.520,CAST,Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,480ms
2.840,HIT,Phoenix,1.1,0.75,2259,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
2.880,APPLY,Burning,,,,2,,,6000,10804,80.07,false,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix
2.880,HIT,Phoenix,2.1,1.7,5121,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
2.880,APPLY,Burning,,,,1,,,3000,5402,80.07,false,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burning Precision
2.900,HIT,Phoenix,3.1,0.75,2259,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
3.000,CAST,Flamestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,600ms
3.000,TICK,Burning,,,,9,782,7042,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
3.240,APPLY,Burning,,,,1,,,1500,2701,80.07,false,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
3.240,HIT,Flamestrike,1.1,0.5,1506,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
3.440,TICK,Bleeding,,,,8,263,2107,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
3.440,TICK,Torment,,,,3,393,1180,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,285.42,0,0,0.05,0,0,,,,,,,
3.520,APPLY,Burning,,,,1,,,2500,4502,80.07,false,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
3.520,HIT,Flamestrike,2.1,0.7,2109,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
3.600,CAST,Flamestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,600ms
3.840,APPLY,Burning,,,,1,,,1500,2701,80.07,false,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
3.840,HIT,Flamestrike,1.1,0.5,1506,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
3.920,APPLY,Burning,,,,1,,,10000,18007,80.07,false,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon's Tooth
3.920,HIT,Dragon's Tooth,1.1,2.25,7347,,,,,,,,,3261,1000,2818,,92,163.333,1.583,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,13.333,Fire,Air,
4.000,TICK,Burning,,,,13,782,10172,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
4.120,APPLY,Burning,,,,1,,,2500,4502,80.07,false,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
4.120,HIT,Flamestrike,2.1,0.7,2109,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
4.200,CAST,Primordial Stance (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,0ms
4.200,APPLY,Burning,,,,1,,,7000,12605,80.07,false,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame Expulsion
4.200,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire/Fire→Earth/Fire
4.200,CAST,Fracturing Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,920ms
4.200,HIT,Earth Attunement,1.1,0,0,,,,,,,,,3111,1100,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
4.200,HIT,Flame Expulsion,1.1,1.5,2785,,,,,,,,,2911,690.5,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,0,0,Earth,,
4.200,HIT,Earthen Blast,1.1,0.36,458,,,,,,,,,2911,690.5,2818,,0,150,1,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,0,0,Earth,,
4.440,APPLY,Burning,,,,1,,,2000,4000,100.07,true,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fracturing Strike
4.440,HIT,Fracturing Strike,1.1,1.2,3449,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
4.440,APPLY,Bleeding,,,,1,,,6000,12000,100.07,true,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigil of Earth
4.440,TICK,Bleeding,,,,9,263,2370,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
4.440,TICK,Torment,,,,3,393,1180,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,285.42,0,0,0.05,0,0,,,,,,,
5.000,TICK,Burning,,,,16,782,12520,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
5.040,APPLY,Burning,,,,1,,,2000,4000,100.07,true,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fracturing Strike
5.040,HIT,Fracturing Strike,2.1,1.2,3449,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
5.120,CAST,Rock Barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,760ms
5.200,APPLY,Bleeding,,,,2,,,6000,12000,100.07,true,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
5.200,APPLY,Burning,,,,1,,,2000,4000,100.07,true,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
5.200,HIT,Primordial Stance (Fire),1.1,0.33,686,,,,,,,,,3261,690.5,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,field
5.440,TICK,Bleeding,,,,11,263,2897,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
5.440,TICK,Torment,,,,3,393,1180,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,285.42,0,0,0.05,0,0,,,,,,,
5.880,CAST,Hurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,0ms
5.880,APPLY,Burning,,,,2,,,4000,8000,100.07,true,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunspot
5.880,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth/Fire→Fire/Earth
5.880,CAST,Dust Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,840ms
5.880,HIT,Rock Barrier,1.1,0,0,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
5.880,APPLY,Bleeding,,,,3,,,10000,20000,100.07,true,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strength of Stone
5.880,HIT,Fire Attunement,1.1,0,0,,,,,,,,,3261,1100,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
5.880,HIT,Sunspot,1.1,0.6,855,,,,,,,,,3261,690.5,2818,,0,150,1,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,,
6.000,TICK,Burning,,,,19,782,14867,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
6.180,APPLY,Bleeding,,,,1,,,8000,16000,100.07,true,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurl
6.180,HIT,Hurl,1.1,0.44,1264,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
6.180,APPLY,Burning,,,,1,,,1000,2000,100.07,true,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo (Fire/Projectile)
6.200,APPLY,Burning,,,,1,,,2000,4000,100.07,true,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
6.200,APPLY,Bleeding,,,,2,,,6000,12000,100.07,true,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
6.200,HIT,Primordial Stance (Fire),1.2,0.33,686,,,,,,,,,3261,690.5,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,field
6.380,APPLY,Bleeding,,,,1,,,8000,16000,100.07,true,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurl
6.380,HIT,Hurl,2.1,0.44,1264,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
6.380,APPLY,Burning,,,,1,,,1000,2000,100.07,true,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo (Fire/Projectile)
6.440,TICK,Bleeding,,,,18,263,4740,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
6.440,TICK,Torment,,,,3,393,1180,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,285.42,0,0,0.05,0,0,,,,,,,
6.580,APPLY,Bleeding,,,,1,,,8000,16000,100.07,true,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurl
6.580,HIT,Hurl,3.1,0.44,1264,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
6.580,APPLY,Bleeding,,,,1,,,6000,12000,100.07,true,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigil of Earth
6.580,APPLY,Burning,,,,1,,,1000,2000,100.07,true,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo (Fire/Projectile)
6.720,CAST,Dragon's Tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,680ms
6.780,APPLY,Bleeding,,,,1,,,8000,16000,100.07,true,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurl
6.780,HIT,Hurl,4.1,0.44,1264,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
6.780,APPLY,Burning,,,,1,,,1000,2000,100.07,true,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo (Fire/Projectile)
6.980,APPLY,Bleeding,,,,1,,,8000,16000,100.07,true,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurl
6.980,HIT,Hurl,5.1,0.44,1264,,,,,,,,,3111,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,0,0,200,0,Earth,Fire,
6.980,APPLY,Burning,,,,1,,,1000,2000,100.07,true,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo (Fire/Projectile)
7.000,TICK,Burning,,,,24,782,18780,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
7.200,APPLY,Burning,,,,1,,,2000,4000,100.07,true,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
7.200,APPLY,Bleeding,,,,2,,,6000,12000,100.07,true,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
7.200,HIT,Primordial Stance (Fire),1.3,0.33,686,,,,,,,,,3261,690.5,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,field
7.400,CAST,Flamestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,600ms
7.440,APPLY,Bleeding,,,,2,,,10000,20000,100.07,true,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dust Storm
7.440,HIT,Dust Storm,1.1,0.3,813,,,,,,,,,3261,900,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
7.440,TICK,Bleeding,,,,26,263,6847,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
7.440,TICK,Torment,,,,3,393,1180,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,285.42,0,0,0.05,0,0,,,,,,,
7.640,APPLY,Burning,,,,1,,,1500,3000,100.07,true,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
7.640,HIT,Flamestrike,1.1,0.5,1506,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
7.920,APPLY,Burning,,,,1,,,2500,5000,100.07,true,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
7.920,HIT,Flamestrike,2.1,0.7,2109,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
7.920,APPLY,Burning,,,,1,,,3000,6000,100.07,true,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burning Precision
8.000,APPLY,Burning,,,,2,,,4000,8000,100.07,true,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunspot
8.000,SWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire/Earth→Fire/Fire
8.000,CAST,Flamestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,600ms
8.000,HIT,Fire Attunement,1.1,0,0,,,,,,,,,3261,1100,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
8.000,HIT,Sunspot,1.1,0.6,855,,,,,,,,,3261,690.5,2818,,0,150,1,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,,
8.000,TICK,Burning,,,,30,782,23475,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
8.200,APPLY,Burning,,,,1,,,2000,3601,80.07,false,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
8.200,APPLY,Burning,,,,1,,,2000,3601,80.07,false,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
8.200,HIT,Primordial Stance (Fire),1.4,0.33,686,,,,,,,,,3261,690.5,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,field
8.240,APPLY,Burning,,,,1,,,1500,2701,80.07,false,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
8.240,HIT,Flamestrike,1.1,0.5,1506,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
8.440,TICK,Bleeding,,,,26,263,6847,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
8.440,TICK,Torment,,,,3,393,1180,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,285.42,0,0,0.05,0,0,,,,,,,
8.520,APPLY,Bleeding,,,,2,,,10000,18007,80.07,false,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dust Storm
8.520,HIT,Dust Storm,2.1,0.3,813,,,,,,,,,3261,900,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
8.520,APPLY,Burning,,,,1,,,2500,4502,80.07,false,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
8.520,HIT,Flamestrike,2.1,0.7,2109,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
8.600,CAST,Flamestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,600ms
8.840,APPLY,Burning,,,,1,,,1500,2701,80.07,false,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
8.840,HIT,Flamestrike,1.1,0.5,1506,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
8.840,APPLY,Bleeding,,,,1,,,6000,10804,80.07,false,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigil of Earth
9.000,TICK,Burning,,,,26,782,20345,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,567.79,0,0,0.05,0,0,,,,,,,
9.120,APPLY,Burning,,,,1,,,2500,4502,80.07,false,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
9.120,HIT,Flamestrike,2.1,0.7,2109,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
9.200,CAST,Flamestrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire,,600ms
9.200,APPLY,Burning,,,,1,,,2000,3601,80.07,false,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
9.200,APPLY,Burning,,,,1,,,2000,3601,80.07,false,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial Stance
9.200,HIT,Primordial Stance (Fire),1.5,0.33,686,,,,,,,,,3261,690.5,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,field
9.320,APPLY,Burning,,,,1,,,10000,18007,80.07,false,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon's Tooth
9.320,HIT,Dragon's Tooth,1.1,2.25,6778,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
9.440,APPLY,Bleeding,,,,2,,,10000,18007,80.07,false,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dust Storm
9.440,HIT,Dust Storm,3.1,0.3,813,,,,,,,,,3261,900,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Earth,
9.440,APPLY,Burning,,,,1,,,1500,2701,80.07,false,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flamestrike
9.440,HIT,Flamestrike,1.1,0.5,1506,,,,,,,,,3261,1000,2818,,92,150,1.46,25,true,25,1.25,1.643,1.17,0.17,1.07,1,1,1.05,1,1,1,1,1,1.641,,,,,,,,,150,0,200,0,Fire,Fire,
9.440,TICK,Bleeding,,,,31,263,8163,,,,,,,,2818,0,,,,25,,25,1.25,,,,,,,,,,,,,1.378,0,1.05,191.08,0,0,0.05,0,0,,,,,,,
